NDC,ATC4 Class
57664065688,C07AA
00781506701,C03EA
63739022510,A03AX
31722074890,C09CA
63323048227,S01EA
24208027715,S01XA
00409427717,C01BB
00264775000,G04BA
57664024188,N05AH
61314001601,S01HA
64980023650,J01XD
37205031213,R01AX
69315011610,C03CA
00781227701,C08CA
25021018899,S01AA
51079020501,M04AA
68001016100,R06AD
00713075886,D07AC
61314023710,R03BC
24385047847,A12AA
23155011501,A10BA
00904674460,N02BA
00228212750,N02CX
00955104290,C09CA
51672200101,A01AB
68180047201,C08CA
50111043401,N06AX
16571020106,M01AB
42571011210,C09CA
00054312041,D05AX
59011027560,R05DA
42571017601,S01BC
49483000301,A06AD
69238117603,D10AD
51672125302,D07AC
68180091111,G03AB
67618031060,A06AA
16714036501,L02AA
16729028415,C10AA
49348014010,N02BE
00168026550,R01AD
69543038190,N05AH
00555904958,G03AA
00093532862,G03AA
68382054401,J01CA
00591034310,C08DA
00527122205,N06DX
00143955301,V03AF
00338008903,A12CA
66689033950,M01AE
00093031801,C08DB
70801000301,D07XB
00054474131,A07EA
68180024706,N06DX
52565001480,H02AB
57664079783,C09CA
00121477405,M02AA
49348085104,R01BA
49884026811,B05XA
00093100505,M02AA
16714033001,N02BF
00338102141,J01CE
51672127203,G01AA
65162047509,G03AC
00245003660,C10AC
00006074731,C09CA
63304054005,M04AA
24208063562,J01GB
65162091174,M02AA
60687017101,N06DA
51672135004,D07AD
51862051006,G03AD
00591207030,R02AD
00054417925,S01BA
60505001506,C08DB
70000013601,R06AA
68382009716,N06AB
00338952572,B05CB
63323049507,S01HA
45802000403,A01AC
50242004413,S01XA
00409428201,R02AD
61314063715,R01AD
63323048627,C01BB
00338004911,B05CB
00006008062,A10BH
00281032660,C01DA
69238101703,D10AD
51079045520,C10AA
59762152002,C08CA
63323073310,R05CB
49348000110,N02BA
00472001304,D01BA
51672132101,D07AC
00641612725,N02AA
63323048731,R01AA
65862004505,C03AA
68084008301,C01DA
67618020030,S03AA
36800047526,S01GX
49483060201,M01AE
00168001135,D06AX
63323016116,S01BC
68047070221,R01AD
57237023301,J01EE
23155022901,S01AD
67618020004,B05CA
55111063960,J01AA
00641040012,B01AB
53329016979,G01AF
47781049701,C03CC
00781705805,N01BB
00185062001,C09AA
57664079683,C09DX
47781019605,N02BE
50102012803,G03CA
69367020301,N06BC
62332015090,C03AA
00406052262,N02BE
60951071270,N02AJ
55150024552,S01AE
65862054790,C09CA
65862091060,M01AH
69238126601,J05AH
70700011585,G03CA
00023010605,D07XA
58657031116,G04BC
50991074001,R05CA
00642746605,A01AB
24689081601,R06AX
00338067103,B05CX
00168041760,D11AH
00078024115,L04AD
24385055010,M02AA
45802088014,D07CB
54643902301,R01AX
00113021771,N02BE
68084008201,C01DA
00338050741,J01GB
51991020311,B03AB
68180046509,C10AA
65162070294,C05AA
55150025220,S01HA
54838056670,J05AF
68462029965,D07AB
45963043965,A06AD
69315011710,C03CA
42799081301,S03BA
50383028604,J01MA
67877025180,A01AC
00703004501,D07AA
24385036571,N06BC
00472009475,D11AX
00113091530,A02BC
68462029017,S01BA
51672128201,S01BA
00781555531,R03DC
24385051926,R06AB
00071101441,N02BF
63323051610,S01BA
63323026255,C05BA
00904676024,R01BA
00832112005,G03BA
63323048657,S01HA
68180044801,N05AH
00378111005,A10BB
70677003801,V04CC
00121097800,D04AA
00591034810,C03AA
49884048611,N03AX
54838057280,R06AE
00703903203,S01AA
45802036665,G03BA
52544069419,C08DB
13811053890,B03BB
50458054060,A10BK
51672131001,D07XC
00113044301,R03BA
42858010350,N02AA
00409762059,B01AB
