index,unique_id,ds,Naive,Naive-lo-95,Naive-hi-95,HistoricAverage,HistoricAverage-lo-95,HistoricAverage-hi-95,WindowAverage,WindowAverage-lo-95,WindowAverage-hi-95,SeasonalNaive,SeasonalNaive-lo-95,SeasonalNaive-hi-95,ARIMA,ARIMA-lo-95,ARIMA-hi-95,SARIMA,SARIMA-lo-95,SARIMA-hi-95,HoltWinters,HoltWinters-lo-95,HoltWinters-hi-95,DynamicOptimizedTheta,DynamicOptimizedTheta-lo-95,DynamicOptimizedTheta-hi-95
130,IN_D07,2025-07-01,79790.0,13325.256,146254.75,57806.445,18934.037,96678.85,53096.0,7325.826,98866.17,53096.0,7325.826,98866.17,75495.664,35741.58,115249.75,75495.664,35741.58,115249.75,74400.695,38112.973,110688.42,75529.3,31225.97,112953.3
131,IN_D07,2025-10-01,79790.0,3043.1238,156536.88,57806.445,18934.037,96678.85,79790.0,34019.83,125560.17,79790.0,34019.83,125560.17,75495.664,33261.793,117729.54,75495.664,33261.793,117729.54,80632.34,44344.613,116920.07,75529.3,36627.363,114890.41
132,IN_D08,2025-01-01,85.0,-6139.532,6309.532,993.0278,-3131.9895,5118.045,55.0,-5080.496,5190.496,55.0,-5080.496,5190.496,993.0278,-3075.8643,5061.92,993.0278,-3075.8643,5061.92,1671.596,-2820.5273,6163.719,1508.3925,-2094.428,5799.2827
133,IN_D08,2025-04-01,85.0,-8717.817,8887.817,993.0278,-3131.9895,5118.045,6622.0,1486.5039,11757.496,6622.0,1486.5039,11757.496,993.0278,-3075.8643,5061.92,993.0278,-3075.8643,5061.92,1841.9755,-2650.1482,6334.099,1508.3925,-2728.453,5244.7197
134,IN_D08,2025-07-01,85.0,-10696.206,10866.206,993.0278,-3131.9895,5118.045,55.0,-5080.496,5190.496,55.0,-5080.496,5190.496,993.0278,-3075.8643,5061.92,993.0278,-3075.8643,5061.92,1722.2128,-2769.9114,6214.337,1508.3925,-3801.1987,5532.525
135,IN_D08,2025-10-01,85.0,-12364.064,12534.064,993.0278,-3131.9895,5118.045,85.0,-5050.496,5220.496,85.0,-5050.496,5220.496,993.0278,-3075.8643,5061.92,993.0278,-3075.8643,5061.92,2697.366,-1794.7596,7189.4917,1508.3925,-2446.1611,5479.2773
136,IN_D10,2025-01-01,20193.0,5452.025,34933.977,25315.055,4684.9243,45945.184,26091.0,-4438.848,56620.848,26091.0,-4438.848,56620.848,20193.0,5452.024,34933.977,28943.977,15623.514,42264.438,18088.172,1312.3153,34864.027,20205.922,7986.2305,34759.34
137,IN_D10,2025-04-01,20193.0,-653.88715,41039.887,25315.055,4684.9243,45945.184,18161.0,-12368.848,48690.848,18161.0,-12368.848,48690.848,20193.0,-653.8881,41039.887,32743.541,13905.562,51581.52,20181.781,-3542.4707,43906.03,20205.922,-577.3844,39675.082
138,IN_D10,2025-07-01,20193.0,-5339.118,45725.117,25315.055,4684.9243,45945.184,21518.0,-9011.848,52047.848,21518.0,-9011.848,52047.848,20193.0,-5339.119,45725.12,31135.074,8063.3564,54206.793,20503.598,-8555.338,49562.535,20205.922,-7065.033,44362.105
139,IN_D10,2025-10-01,20193.0,-9288.95,49674.95,25315.055,4684.9243,45945.184,20193.0,-10336.848,50722.848,20193.0,-10336.848,50722.848,20193.0,-9288.952,49674.953,31769.932,5129.007,58410.86,20332.08,-13226.442,53890.6,20205.922,-8079.2427,48309.7
140,IN_D11,2025-01-01,12597.0,4256.33,20937.67,9369.083,-215.399,18953.564,20384.0,7118.4604,33649.54,20384.0,7118.4604,33649.54,13524.871,6092.174,20957.568,13524.871,6092.174,20957.568,14837.25,6047.8315,23626.668,12685.871,5527.9155,21210.86
141,IN_D11,2025-04-01,12597.0,801.51166,24392.488,9369.083,-215.399,18953.564,16323.0,3057.4604,29588.54,16323.0,3057.4604,29588.54,14085.464,5849.628,22321.299,14085.464,5849.628,22321.299,15416.506,6627.0874,24205.924,12685.871,994.43286,23772.176
142,IN_D11,2025-07-01,12597.0,-1849.4639,27043.463,9369.083,-215.399,18953.564,12628.0,-637.5396,25893.54,12628.0,-637.5396,25893.54,14480.011,6054.7305,22905.291,14480.011,6054.7305,22905.291,14814.338,6024.9185,23603.758,12685.871,-1928.0082,25775.951
143,IN_D11,2025-10-01,12597.0,-4084.3396,29278.34,9369.083,-215.399,18953.564,12597.0,-668.5396,25862.54,12597.0,-668.5396,25862.54,14799.489,6320.4185,23278.559,14799.489,6320.4185,23278.559,14090.913,5301.492,22880.334,12685.871,-2010.2572,28155.46
