unique_id,metric,Naive,HistoricAverage,WindowAverage,SeasonalNaive,ARIMA,SARIMA,HoltWinters,DynamicOptimizedTheta
IN_C07,mse,439036015360.7599,1213262606144.1792,1029367539153.6262,871063128685.5278,946912294529.215,946912294529.215,1016317413084.6017,1013717432710.1255
IN_C08,mse,82853270204.375,434167737746.8211,190992546566.32812,150223474349.1875,190915382379.35297,190915382379.35297,249012794569.66476,189504349682.54718
IN_C09,mse,669753744513.0886,814660637148.8517,1492459971384.9395,1372576026717.6997,1329539254491.7861,1329539254491.7861,1568106867806.1802,979867873739.3501
IN_C10,mse,335016710429.07434,2840382061336.7646,685111606037.7439,549086468427.00574,867438226860.339,867438226860.339,1009390463652.1044,855317894031.1245
IN_D01,mse,126408061692.0016,425987423496.60693,166762702013.5338,235215226764.8939,446015892369.38525,446015892369.38525,62553375816.47071,115775567274.72726
IN_D02,mse,11203716751.408926,12144070795.26904,22656079694.100693,31059887236.244995,10528185195.196281,10528185195.196281,6284467746.842148,8407208177.420848
IN_D03,mse,162.5,226040885.17743933,2407980.3125,9728291.75,46818696.78393479,46818696.78393479,4963191.2747783065,148.54553343000737
IN_D04,mse,1011041393.7590452,17243594929.112698,13444631308.420391,45162208118.58316,10337899399.122025,10337899399.122025,41280570005.08115,24370280772.677616
IN_D05,mse,456251445.5,2380257353.3836823,249334517.93062508,244253646.5625,456251445.5,456251445.5,176746285.15571737,387588884.5294409
IN_D06,mse,128417934989.55838,90031563892.37376,206137282375.37265,206079199665.73056,180858905925.61493,180858905925.61493,215202363564.33224,181207184695.47037
IN_D07,mse,304386423359.7928,633570457299.2235,215618287743.06866,161298345419.15372,297776272719.2662,297776272719.2662,182597681705.28607,253604366224.85583
IN_D08,mse,8529185504239.5,2004425328829.5,1839382108072.25,5252975975569.5,2004425328829.5,2336867973127.385,2326186234204.7954,1855557030758.2415
IN_D10,mse,353992872942.7377,18733034222.637356,489753716008.943,494467094006.7461,353992872942.7377,353992872942.7377,501147539806.54,353804776766.5342
IN_D11,mse,324356394245.7431,315792929026.1437,221903721573.63248,112284406135.96173,462728837245.756,671271884067.7225,194688808551.877,214140704072.59497
IN_G01,mse,619838043396.4717,604248312965.2266,443998136876.33887,467331341045.06244,600312067731.3289,600312067731.3289,548971374167.1394,604961289203.5773
IN_G02,mse,406754397159.20905,278539832017.91376,291061980160.439,231752163026.9951,278539832017.9138,379143630471.6992,119565420289.81345,261734460149.21396
IN_G03,mse,103956241545.55075,398604422211.5634,221523329956.0178,190833788835.64114,365695044831.90454,355216387821.0052,389689901968.66705,341630617910.00616
IN_G04,mse,764968453363.4917,510104784477.24243,993704113255.194,1097282805249.8815,510104784477.24133,510104784477.24133,558418941487.5603,499648446656.8795
IN_H01,mse,191570261.71497214,188214704.514282,337655588.87218875,204679387.11989447,191570261.71497214,191570261.71497214,167608196.8646485,192012884.5899437
IN_H02,mse,1118753427182.229,400392308407.5969,514072326415.5647,543442324377.9003,503421383964.5355,671547348447.0835,346572634203.0748,631548858457.1987
IN_H03,mse,127016389205.9375,107727780065.91093,296293606167.394,258703930282.64383,282455789054.58936,282455789054.58936,142942869367.2631,159190646762.1125
IN_H04,mse,55995.71750000007,171006.41842515738,36482.38437500004,7065.364999999997,43755.30738200079,22103.753137499094,20252.322995814677,10642.759934378859
IN_H05,mse,110399967.7255,71734045.99650967,79938374.4733,111346361.8163,110399967.7255,110399967.7255,64777621.62959245,85246399.4946144
IN_J01,mse,8937201156412.947,13051849325703.318,4930341729400.432,1784847594230.4263,5400217875705.713,2542692172050.5405,2222755959902.7554,4644266315448.2
IN_J02,mse,5368641988.486899,2107183254.9805653,25445561084.14113,61465033966.89823,33140389134.190704,33140389134.190704,32408385119.58005,12416005615.21361
IN_J04,mse,29707147.550000004,7923631.762735864,33202950.03062499,31895010.292500008,7431644.972587333,7431644.972587333,34366185.70444349,30862636.971436597
IN_J05,mse,244694587032.60638,196204772907.97787,194523304767.03656,249281705943.7734,196204772907.9779,249281705943.7734,92897960450.89597,70201533208.31198
IN_J06,mse,16730221022.523842,592617611.5257683,13498208884.756918,13766304118.174755,6160010542.795933,6160010542.795933,16973569449.032204,15916631291.834034
IN_L01,mse,23229613618.46066,17072977353.157482,9676320219.41546,13490326086.095036,23229613618.46066,14292885729.447535,12444654075.930944,11848055524.635733
IN_L02,mse,13975926740.669193,38534219233.2956,14952051988.73097,5793625887.597661,30424175542.596046,30424175542.596046,20983746334.000336,17180484658.01939
IN_L03,mse,295000.7363752501,8521611.75789566,856157.2635861876,827756.6863905,98502.52332534317,98502.52332534317,535962.5275511618,136191.19377885904
IN_L04,mse,4752008331.772087,8996432947.89659,7918561363.9466305,8672862401.265614,4752008331.772087,14435782683.99783,9383894441.16544,4605854776.796189
IN_M01,mse,694550170512.8477,772982220992.5239,544473954353.5874,507645851565.3342,792096756325.3195,1019909841422.5126,446798369193.3756,687361073659.344
IN_M02,mse,11359612964223.426,2766873320058.7656,9312057546883.516,9381035481662.184,3386245039559.4287,3386245039559.4287,9747834241854.887,9518537758498.693
IN_M03,mse,155344988154.4022,183723769813.2572,467808371944.42163,391433967217.38245,452717237000.47034,452717237000.47034,1248286276491.9146,155994627914.25732
IN_M04,mse,1814209697.4375,1601874333.4463706,3655651051.734375,3126524251.625,4502288152.528515,4502288152.528515,4561894135.922488,1890628672.2960734
IN_M05,mse,24024137.7997545,122905978.4157035,27416058.619397245,13867298.860223502,24024137.7997545,24024137.7997545,15967199.674313249,19557158.008200925
IN_M09,mse,22216488.18492127,201887464.8638089,26214775.65207819,27280410.171633497,10605746.965112139,10605746.965112139,10403817.93666104,13025554.66264558
IN_N01,mse,504241467.9909208,460064800.47680575,815587290.7538829,2642631627.421654,428028021.54169875,428028021.54169875,995330848.5954099,521538656.7661535
IN_N02,mse,4355182747317.0605,8382001885785.217,5808528780661.1,7156422269558.605,4445942985611.18,4445942985611.18,5804499073291.428,4049651649518.5684
IN_N03,mse,309381983890.96094,1895583752983.5354,830834853460.9597,618457995049.6743,1935411320196.9375,1935411320196.9375,3000032477886.223,515524571815.6282
IN_N04,mse,11120381380.5625,16801398331.105556,22417996916.946037,20151313344.480602,30048487088.045074,30048487088.045074,36952069936.623344,21091109270.78402
IN_N05,mse,1075117102573.5083,8879800505285.53,3557743171501.661,3010847192171.4463,2636870168576.093,2636870168576.093,3633082862515.426,2585238499501.574
IN_N06,mse,4685961172956.099,25080855235240.96,13442428416932.848,11759885193762.246,11410549942513.3,11410549942513.3,13921961183433.37,11868222749527.617
