unique_id,cutoff,metric,LightGBM,XGBoost,RandomForest,Ridge
IN_D01,2020-10-01,mae,172696.12149166234,150115.3279375,227365.37249329413,293029.5791225813
IN_D02,2020-10-01,mae,98655.61081308036,96156.78812500002,106922.3108040202,85516.58613852793
IN_D04,2020-10-01,mae,256255.06721746072,243744.4885,245494.1049811971,265948.30975351686
IN_D05,2020-10-01,mae,47990.30554257786,24902.8310546875,16766.725523453224,22879.26253249631
IN_D06,2020-10-01,mae,240007.1245151792,233673.87884375,222129.61110763962,219872.82243545292
IN_D07,2020-10-01,mae,594141.935873468,544288.194625,559410.1045969015,474835.3239726614
IN_D08,2020-10-01,mae,696632.4530458897,725774.671875,635378.9369249061,583329.7514688566
IN_D10,2020-10-01,mae,623218.8609215727,605857.7873750001,598066.9695597567,449263.71805803804
IN_D11,2020-10-01,mae,521066.3139523853,507237.25406249997,537166.1104803683,530617.0379825786
IN_G01,2020-10-01,mae,385782.7161969746,436440.228375,360464.6520619273,356457.800676544
IN_G02,2020-10-01,mae,879185.3032719997,952639.6625,1178072.6749206565,1204943.9014740784
IN_G03,2020-10-01,mae,569310.2965974448,529898.61575,675318.6071593808,931734.5283144177
IN_G04,2020-10-01,mae,407936.94699449325,332335.19687499997,299395.64594815887,261092.99517575308
IN_H01,2020-10-01,mae,5816.834063229711,16252.05765625,17340.66133742311,20063.63079733091
IN_H02,2020-10-01,mae,347743.4971240568,384299.13868750003,376833.88691273547,346820.0096658749
IN_H03,2020-10-01,mae,385272.48131380917,595322.125,617155.9895661059,380274.23382218025
IN_H04,2020-10-01,mae,4059.6709243399882,20149.151318359374,7667.768556972614,25515.069557005536
IN_H05,2020-10-01,mae,20146.447137785202,8841.483291015626,2286.980863743124,23879.51557601588
IN_J01,2020-10-01,mae,4949794.825849608,2048791.8331250004,2181735.7066491265,1958660.167562146
IN_J02,2020-10-01,mae,212351.01657588637,257788.74615625,206073.00271855755,255338.61105960293
IN_J04,2020-10-01,mae,16794.848307010332,7864.885009765625,4922.9896824127845,25264.54266380457
IN_J05,2020-10-01,mae,591992.5782924821,755784.5745,544808.9105851942,209018.56245585124
IN_J06,2020-10-01,mae,51199.69623321817,33239.28221875,27618.82542677833,28709.79251434
IN_L01,2020-10-01,mae,179150.6990743418,167987.14681249997,155625.75683307764,172558.735398128
IN_L02,2020-10-01,mae,177340.77493541793,148743.784125,185555.0760345838,308898.16904144903
IN_L03,2020-10-01,mae,2484.9501743399887,18574.430568359374,6093.047806972614,23901.264206065243
IN_L04,2020-10-01,mae,216030.2131795673,240615.55299999999,257804.18916553652,187027.9291326892
IN_M01,2020-10-01,mae,622515.3933459449,362929.75537500007,1100914.1448339995,473661.26660339755
IN_M02,2020-10-01,mae,889437.7936330786,864403.757375,795461.3145223995,834508.1227717311
IN_M03,2020-10-01,mae,262916.443725865,184127.27387499984,98234.67256621108,376048.2149716463
IN_M04,2020-10-01,mae,25879.403229850635,34892.94275,8165.241285521108,72259.8816763406
IN_M05,2020-10-01,mae,7299.042765410862,34930.06409765625,17224.3407138682,30928.198974082006
IN_N01,2020-10-01,mae,142719.77894795622,109265.541265625,72515.28345794896,85295.50941171571
IN_N02,2020-10-01,mae,4878494.631116707,5070169.68,7671762.223359853,3898320.0719987936
IN_N03,2020-10-01,mae,249347.74920058693,3386176.17375,2513625.0464976104,325131.5309328735
IN_N04,2020-10-01,mae,328183.9215858836,101638.99999999997,231205.56367775064,135543.3181252829
IN_N05,2020-10-01,mae,2912936.3709652433,2709433.3575000004,781289.8405515086,2535566.7735779653
IN_N06,2020-10-01,mae,8513559.416371837,8935578.29125,11309998.834609853,4588768.686342132
IN_N07,2020-10-01,mae,739682.4642143094,709706.3388749999,717438.1412073004,790474.5226753303
IN_P01,2020-10-01,mae,79739.82257458604,80563.5245,94604.66179726328,90130.70058235966
IN_P02,2020-10-01,mae,4234.050739893177,15142.101318359375,5419.842858375261,27402.230593882676
IN_P03,2020-10-01,mae,136750.85596230073,118129.6171875,103335.19085123105,122004.05154717687
IN_R01,2020-10-01,mae,505244.9810659805,471983.07637500006,422887.61820435507,907461.5900902477
IN_R02,2020-10-01,mae,1419305.0706705982,1443861.21825,1380815.8396840487,1646938.4652166895
IN_R03,2020-10-01,mae,1906020.341822445,4729464.890000001,3381562.0497215483,625689.2738836869
IN_R05,2020-10-01,mae,1289112.1161539855,1005286.75925,1396870.1399683286,1148081.1888120486
IN_R06,2020-10-01,mae,652253.3763822113,744337.607375,741761.6798248943,938538.4385154905
IN_R07,2020-10-01,mae,6574.565795359206,11961.02099609375,1821.797497463971,39702.23292085265
IN_S01,2020-10-01,mae,695184.4676468977,520544.2675000001,501147.8532170557,527782.3067170421
