cutoff,unique_id,Naive,HistoricAverage,WindowAverage,SeasonalNaive,ARIMA,SARIMA,HoltWinters,DynamicOptimizedTheta,metric
2020-10-01,IN_H03,1.2611259e+07,2.862916e+07,2.3683692e+07,2.3413466e+07,8.037645e+07,8.037645e+07,8.942124e+06,1.1869876e+07,MSE
2020-10-01,IN_H04,35203.5,32058.818,19450.5,10988.5,32058.818,6121.0547,6290.3643,10810.228,MSE
2020-10-01,IN_H05,153478.5,1.9263306e+06,586456.5,555275.0,1.9263306e+06,1.9263306e+06,4.108746e+06,2.3056385e+06,MSE
2020-10-01,IN_J01,2.2989317e+09,5.2336083e+08,1.8483781e+09,3.0236247e+09,5.2336083e+08,1.3754331e+09,2.0155725e+09,6.3608166e+08,MSE
2020-10-01,IN_J02,1.0355984e+08,8.4674936e+07,3.5277404e+07,1.985426e+07,8.4674936e+07,8.4674936e+07,3.738053e+07,7.160043e+07,MSE
2020-10-01,IN_J04,5507.5,14267.461,25036.562,20580.75,5507.5,5507.5,57474.23,16320.545,MSE
2020-10-01,IN_J05,5.6236015e+06,4.653082e+06,3.6513948e+07,3.5557338e+08,4.653082e+06,3.5557338e+08,2.4331685e+08,2.4814573e+08,MSE
2020-10-01,IN_J06,572254.25,440184.2,485768.16,227232.5,440184.2,908064.5,177005.27,218302.72,MSE
2020-10-01,IN_L01,5.7274955e+06,3.7092696e+07,6.090748e+06,7.568408e+06,4.352188e+06,4.352188e+06,1.7604098e+06,3.2243025e+06,MSE
2020-10-01,IN_L02,9.024928e+07,6.160052e+06,2.040842e+07,2.7838796e+07,5.3145036e+07,5.3145036e+07,1.2674894e+08,4.197086e+07,MSE
2020-10-01,IN_L03,226509.5,55564.87,73403.25,129466.5,108577.97,108577.97,21693.791,224416.56,MSE
2020-10-01,IN_L04,2.9194362e+06,4.358416e+07,7.488962e+06,7.787959e+06,2.9194362e+06,2.9194362e+06,9.033e+06,2.325535e+06,MSE
2020-10-01,IN_M01,2.7908784e+07,4.847417e+07,9.864945e+07,1.4510538e+08,4.0773932e+07,4.297118e+07,1.0808456e+08,3.3144168e+07,MSE
2020-10-01,IN_M02,3.1945395e+08,4.1761164e+07,1.728466e+08,1.740509e+08,4.1761164e+07,4.1761164e+07,2.997143e+08,2.4603024e+08,MSE
2020-10-01,IN_M03,3.7324028e+07,3.0810387e+08,1.2355413e+08,1.3274974e+08,4.3964416e+07,4.3964416e+07,8.612109e+07,3.746868e+07,MSE
2020-10-01,IN_M04,322880.5,380553.3,522387.06,450292.75,380553.3,380553.3,935601.8,323068.3,MSE
2020-10-01,IN_M05,46722.0,1.5482539e+06,46644.25,95705.5,46722.0,172258.6,119380.625,46330.51,MSE
2020-10-01,IN_M09,2393.25,11604.045,10658.1875,10769.0,11604.045,11604.045,7314.939,10198.723,MSE
2020-10-01,IN_N01,767796.75,1.305351e+07,646795.2,1.8623195e+06,767796.75,767796.75,2.1514048e+07,750843.8,MSE
2020-10-01,IN_N02,2.637275e+09,6.014817e+09,4.2429996e+09,4.121218e+09,4.641712e+09,4.641712e+09,3.1198648e+09,2.6722074e+09,MSE
2020-10-01,IN_N03,3.206815e+07,6.683011e+08,8.786971e+07,1.11218376e+08,2.363598e+07,2.363598e+07,6.3215956e+07,1.351247e+07,MSE
2020-10-01,IN_N04,725771.25,1.8990198e+07,1.8166134e+06,1.961315e+06,628998.8,628998.8,1.6950006e+06,51082.383,MSE
2020-10-01,IN_N05,6.025435e+08,9.259828e+09,2.0634739e+09,2.3099835e+09,1.7266565e+08,1.7266565e+08,2.1445274e+09,6.0649075e+08,MSE
2020-10-01,IN_N06,3.0574152e+09,2.1716046e+10,7.4177096e+09,7.3596595e+09,3.2969436e+09,3.2969436e+09,5.005313e+09,1.3902021e+09,MSE
2020-10-01,IN_N07,1.1051004e+09,6.5350624e+08,6.302103e+08,8.3100736e+08,1.1910705e+09,1.1966674e+09,7.269014e+08,8.242174e+08,MSE
2020-10-01,IN_P01,3.7309308e+07,6.10366e+07,3.9255108e+07,7.51221e+07,3.829917e+07,3.829917e+07,3.558955e+07,4.3087376e+07,MSE
2020-10-01,IN_P02,91628.75,57422.49,65867.44,52653.0,57422.49,57422.49,286384.1,59855.324,MSE
2020-10-01,IN_P03,578870.5,5.7640865e+06,757192.5,681222.5,578870.5,65409.945,49775.11,146122.67,MSE
2020-10-01,IN_R01,2.0629745e+09,8.131737e+08,2.2818404e+09,2.943959e+09,1.1922076e+09,2.344568e+09,2.269686e+09,2.0685705e+09,MSE
2020-10-01,IN_R02,1.1164278e+09,5.6267264e+08,7.558219e+08,9.035401e+08,8.062546e+08,8.062546e+08,8.380914e+08,8.147049e+08,MSE
2020-10-01,IN_R03,5.5236006e+08,3.2397906e+09,6.8164774e+08,6.319189e+08,1.1584804e+08,1.1584804e+08,2.9997e+08,5.538865e+08,MSE
2020-10-01,IN_R05,8.328132e+08,6.80384e+08,4.2501472e+08,6.0042995e+08,7.059736e+08,7.059736e+08,5.546351e+08,5.9803424e+08,MSE
2020-10-01,IN_R06,6.8499405e+08,1.3713244e+09,1.06276595e+09,1.1040129e+09,1.3713244e+09,1.3713244e+09,1.4173362e+09,7.832255e+08,MSE
2020-10-01,IN_R07,7210.5,137213.7,12953.0625,12285.25,345.3026,345.3026,1829.2231,256.46924,MSE
2020-10-01,IN_S01,1.4536022e+07,2.439248e+07,1.1683184e+07,1.0681436e+08,1.4536022e+07,1.4536022e+07,6.897602e+07,6.53442e+06,MSE
2020-10-01,IN_S02,2.2818172e+07,1.0428383e+07,1.3658603e+07,2.0603442e+07,4.850123e+06,4.850123e+06,3.4131596e+07,1.5377436e+07,MSE
2020-10-01,IN_S03,3.6894056e+07,3.252499e+07,2.9648244e+07,2.75522e+07,3.2373524e+07,4.4539964e+07,3.9130052e+07,3.4448996e+07,MSE
2020-10-01,IN_V03,2.0417947e+09,1.49832e+09,1.1270067e+09,1.0660491e+09,1.49832e+09,1.49832e+09,9.302545e+08,1.3005645e+09,MSE
2020-10-01,IN_V04,4.6820172e+07,1.2110163e+08,4.0933624e+07,4.654807e+07,3.8880084e+07,9.162191e+07,3.8155296e+07,5.6099224e+07,MSE
2020-10-01,IN_V07,28940.0,86916.945,42128.25,44149.5,28940.0,28940.0,2531.7825,28678.305,MSE
2021-04-01,IN_D03,11783.75,56634.797,44209.938,56568.5,95551.734,95551.734,60951.973,55970.598,MSE
2021-07-01,IN_V06,129919.75,54183.527,27835.938,143552.5,54183.527,54183.527,99365.89,76842.57,MSE
2021-10-01,IN_A01,1.1004208e+08,1.7315453e+08,9.230164e+07,1.7491418e+08,1.1004208e+08,1.1004208e+08,2.244818e+08,1.1029897e+08,MSE
2021-10-01,IN_A02,3.0720883e+08,2.8812657e+09,7.950588e+08,7.8607475e+08,1.3780064e+09,1.3780064e+09,3.386682e+08,3.095672e+08,MSE
2021-10-01,IN_A03,2.6939185e+06,4.632644e+07,5.2588695e+06,5.28191e+06,1.4079854e+07,5.005007e+06,599009.06,2.6897338e+06,MSE
2021-10-01,IN_A04,8.551838e+07,5.4571354e+08,1.8537386e+08,2.0047994e+08,3.9429338e+08,3.9429338e+08,7.576035e+07,1.06539544e+08,MSE
