NDC,ATC5 Class
51645073299,No RxCUI Found
63739051910,No RxCUI Found
50268006770,No ATC Mapping Found
00904585692,No RxCUI Found
65162066810,No RxCUI Found
00409409201,No ATC Mapping Found
71351001250,No RxCUI Found
00536354201,No RxCUI Found
59762154001,No RxCUI Found
62037083201,No RxCUI Found
00409228731,No RxCUI Found
00026394425,No ATC Mapping Found
69367028109,No RxCUI Found
00407069022,No RxCUI Found
00115993178,No ATC Mapping Found
00642012590,No RxCUI Found
00409475501,No RxCUI Found
61703032722,No RxCUI Found
58468009003,No ATC Mapping Found
68001043592,No RxCUI Found
00904682076,No RxCUI Found
00093672373,No RxCUI Found
60505014701,No RxCUI Found
00682300101,No RxCUI Found
00004196404,No RxCUI Found
00093414845,No ATC Mapping Found
00338954002,No ATC Mapping Found
50268081015,No RxCUI Found
00517260225,No RxCUI Found
00904675859,No RxCUI Found
63824071016,No RxCUI Found
00087510480,No RxCUI Found
71258002201,No RxCUI Found
69543022430,No RxCUI Found
43598022114,No RxCUI Found
00168032608,No RxCUI Found
00591588201,No RxCUI Found
23594040030,No RxCUI Found
00409228721,No RxCUI Found
63739050010,No RxCUI Found
00407294312,No RxCUI Found
24208074059,No RxCUI Found
49348001310,No RxCUI Found
50419032514,No RxCUI Found
37205061465,No RxCUI Found
00904020161,No RxCUI Found
51645074101,No RxCUI Found
50268034515,No RxCUI Found
00406036505,No RxCUI Found
50419034410,No RxCUI Found
56151173201,No RxCUI Found
00378699331,No ATC Mapping Found
00338954004,No ATC Mapping Found
00169413602,No RxCUI Found
00904027460,No RxCUI Found
00407141353,No RxCUI Found
51079053820,No RxCUI Found
60258019201,No RxCUI Found
13811001030,No RxCUI Found
00904328060,No RxCUI Found
61570007301,No ATC Mapping Found
68025001010,No RxCUI Found
46122024905,No ATC Mapping Found
60505011301,No RxCUI Found
49884072501,No RxCUI Found
00536355601,No RxCUI Found
62756027702,No ATC Mapping Found
00904188260,No RxCUI Found
00407141230,No RxCUI Found
00904027260,No RxCUI Found
00591363560,No RxCUI Found
00338954008,No ATC Mapping Found
00093894301,No RxCUI Found
00407141491,No RxCUI Found
69488001761,No RxCUI Found
70000049001,No ATC Mapping Found
00682005110,No ATC Mapping Found
62011048401,No ATC Mapping Found
46122009272,No RxCUI Found
64376064801,No RxCUI Found
72786011102,No RxCUI Found
69097016887,No ATC Mapping Found
50268006730,No ATC Mapping Found
52544026829,No RxCUI Found
68001019500,No RxCUI Found
49502083003,No RxCUI Found
00054880524,No RxCUI Found
00904645561,No RxCUI Found
24979015438,No RxCUI Found
10019001301,No RxCUI Found
00409228821,No RxCUI Found
76329332100,No RxCUI Found
00409189010,No RxCUI Found
69543034030,No RxCUI Found
59088010759,No RxCUI Found
00093015010,No RxCUI Found
71351001760,No RxCUI Found
23594042530,No RxCUI Found
71351001312,No RxCUI Found
00074116202,No RxCUI Found
00536129330,No RxCUI Found
13668011590,No RxCUI Found
00904053046,No RxCUI Found
00407141234,No RxCUI Found
00536408610,No RxCUI Found
63323020550,No ATC Mapping Found
00781344071,No RxCUI Found
68462025217,No RxCUI Found
00407294306,No RxCUI Found
65628007003,No RxCUI Found
56151146101,No RxCUI Found
11994001116,No RxCUI Found
68001032105,No RxCUI Found
00245053637,No RxCUI Found
52544094028,No RxCUI Found
99999163999,No RxCUI Found
70211070316,No ATC Mapping Found
00591261205,No RxCUI Found
00904517416,No RxCUI Found
50419032507,No RxCUI Found
50268052411,No RxCUI Found
13925050104,No RxCUI Found
68001048500,No ATC Mapping Found
65219053110,No ATC Mapping Found
42494043003,No RxCUI Found
00574041202,No RxCUI Found
51645076099,No RxCUI Found
00093742698,No RxCUI Found
00093065801,No RxCUI Found
51991080990,No RxCUI Found
00603082394,No RxCUI Found
68001000703,No RxCUI Found
65628007005,No RxCUI Found
00054872625,No RxCUI Found
00173068221,No RxCUI Found
00378180701,No RxCUI Found
00642007630,No RxCUI Found
00406036762,No RxCUI Found
00407222316,No RxCUI Found
60505070620,No RxCUI Found
